publn,applicant,auth,publnNum,kind,publnDate,application,cpcCode,name,address,country,cpcCodeB1,cpcCodeB2,cpcCodeB3
http://data.epo.org/linked-data/data/publication/EP/2639871/B1/-,http://data.epo.org/linked-data/data/vc/AEC648C9D6BD5416D6990A8C8B56CD4B,http://data.epo.org/linked-data/id/st3/EP,2639871,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-09-03,http://data.epo.org/linked-data/id/application/EP/13158569,http://data.epo.org/linked-data/def/cpc/H01M8-0606,AISIN SEIKI KABUSHIKI KAISHA,http://data.epo.org/linked-data/data/address/77FD70A936E6EF3DBE98944E745DEE64,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2639871/B1/-,http://data.epo.org/linked-data/data/vc/AD7240A4098F9C68371DD982972D590F,http://data.epo.org/linked-data/id/st3/EP,2639871,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-09-03,http://data.epo.org/linked-data/id/application/EP/13158569,http://data.epo.org/linked-data/def/cpc/H01M8-0606,KYOCERA CORPORATION,http://data.epo.org/linked-data/data/address/4C58EC2E51F42DF263286575ECDD938D,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/1659653/B1/-,http://data.epo.org/linked-data/data/vc/78BF375C39AA0FF0AB5FD3DAB39B88CC,http://data.epo.org/linked-data/id/st3/EP,1659653,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-10-01,http://data.epo.org/linked-data/id/application/EP/04772414,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Panasonic Corporation,http://data.epo.org/linked-data/data/address/9217E5C07B99644E28D2DC6A81C16241,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2755269/A1/-,http://data.epo.org/linked-data/data/vc/A65408431534D01F56986B808B5A8DA8,http://data.epo.org/linked-data/id/st3/EP,2755269,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-07-16,http://data.epo.org/linked-data/id/application/EP/12829137,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Panasonic Corporation,http://data.epo.org/linked-data/data/address/E22A02DAE129AEC41CCDC3621B429D11,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2693551/A1/-,http://data.epo.org/linked-data/data/vc/2AA692642DBD43AD8E6D325C3B721A17,http://data.epo.org/linked-data/id/st3/EP,2693551,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-02-05,http://data.epo.org/linked-data/id/application/EP/12762902,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Panasonic Corporation,http://data.epo.org/linked-data/data/address/CE95D1CD03E7A6E0F19ACC945E9D45A0,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2800185/A1/-,http://data.epo.org/linked-data/data/vc/2AA692642DBD43AD8E6D325C3B721A17,http://data.epo.org/linked-data/id/st3/EP,2800185,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-11-05,http://data.epo.org/linked-data/id/application/EP/12862937,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Panasonic Corporation,http://data.epo.org/linked-data/data/address/CE95D1CD03E7A6E0F19ACC945E9D45A0,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2709755/A1/-,http://data.epo.org/linked-data/data/vc/0D5CA8FA3261C2F9BBBC6AE7098C14EA,http://data.epo.org/linked-data/id/st3/EP,2709755,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-03-26,http://data.epo.org/linked-data/id/application/EP/12721182,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Amminex Emissions Technology A/S,http://data.epo.org/linked-data/data/address/AA38F8DB848FAABF7392A763271FA55B,DK,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2735046/A1/-,http://data.epo.org/linked-data/data/vc/A53DEC27F1D5A57E13A72D740B47E5E6,http://data.epo.org/linked-data/id/st3/EP,2735046,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-05-28,http://data.epo.org/linked-data/id/application/EP/12802234,http://data.epo.org/linked-data/def/cpc/H01M8-0606,"Cellera, Inc.",http://data.epo.org/linked-data/data/address/0CAA3CDD82333ACD84BBFAE7ED81E802,IL,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/1922779/B1/-,http://data.epo.org/linked-data/data/vc/DB318A4BD52BDE8B8C88D85D2F3AFAA6,http://data.epo.org/linked-data/id/st3/EP,1922779,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-07-09,http://data.epo.org/linked-data/id/application/EP/06791922,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Airbus Operations GmbH,http://data.epo.org/linked-data/data/address/3FE793072883421086D5BAE91EC3C71B,DE,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2316558/B1/-,http://data.epo.org/linked-data/data/vc/0D5CA8FA3261C2F9BBBC6AE7098C14EA,http://data.epo.org/linked-data/id/st3/EP,2316558,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-08-20,http://data.epo.org/linked-data/id/application/EP/10011305,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Amminex Emissions Technology A/S,http://data.epo.org/linked-data/data/address/AA38F8DB848FAABF7392A763271FA55B,DK,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2107933/B1/-,http://data.epo.org/linked-data/data/vc/0D5CA8FA3261C2F9BBBC6AE7098C14EA,http://data.epo.org/linked-data/id/st3/EP,2107933,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-08-20,http://data.epo.org/linked-data/id/application/EP/07857189,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Amminex Emissions Technology A/S,http://data.epo.org/linked-data/data/address/AA38F8DB848FAABF7392A763271FA55B,DK,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2025030/B8/2014-04-23,http://data.epo.org/linked-data/data/vc/5806DB4F7E89AE861340827913457165,http://data.epo.org/linked-data/id/st3/EP,2025030,http://data.epo.org/linked-data/def/patent/publicationKind_B8,2014-04-23,http://data.epo.org/linked-data/id/application/EP/07777083,http://data.epo.org/linked-data/def/cpc/H01M8-0606,DCNS SA,http://data.epo.org/linked-data/data/address/5C5537B669A41A6728711DA85D3BDEFF,FR,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2025030/B1/-,http://data.epo.org/linked-data/data/vc/0632BE554C303F47C909998C8B5232C6,http://data.epo.org/linked-data/id/st3/EP,2025030,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-03-05,http://data.epo.org/linked-data/id/application/EP/07777083,http://data.epo.org/linked-data/def/cpc/H01M8-0606,"IdaTech, LLC.",http://data.epo.org/linked-data/data/address/CCC1752DAAA2BC92DF604C9CF64DDA34,US,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2656424/B1/-,http://data.epo.org/linked-data/data/vc/987FA345059331E05D0CAC3784DAA75E,http://data.epo.org/linked-data/id/st3/EP,2656424,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-09-17,http://data.epo.org/linked-data/id/application/EP/11810882,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Toyota Jidosha Kabushiki Kaisha,http://data.epo.org/linked-data/data/address/06CBF11CB0CCD9C0CED754BE6FA4ACEA,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2769434/A1/-,http://data.epo.org/linked-data/data/vc/74006AD440E742CD83F601B39026EE52,http://data.epo.org/linked-data/id/st3/EP,2769434,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-08-27,http://data.epo.org/linked-data/id/application/EP/12781225,http://data.epo.org/linked-data/def/cpc/H01M8-0606,"Intelligent Energy, Inc.",http://data.epo.org/linked-data/data/address/0212E226E526875E57A2D671453C7EE1,US,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2267825/B1/-,http://data.epo.org/linked-data/data/vc/0F833DC4991B25C7614E59AC688B9571,http://data.epo.org/linked-data/id/st3/EP,2267825,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-12-10,http://data.epo.org/linked-data/id/application/EP/09729150,http://data.epo.org/linked-data/def/cpc/H01M8-0606,"Rohm Co., Ltd.",http://data.epo.org/linked-data/data/address/3BB6B964B6442107F0B9E7D470B59C03,JP,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2589100/B1/-,http://data.epo.org/linked-data/data/vc/A35A24E751EB18B4D8D26748AABB9894,http://data.epo.org/linked-data/id/st3/EP,2589100,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-10-29,http://data.epo.org/linked-data/id/application/EP/11723485,http://data.epo.org/linked-data/def/cpc/H01M8-0606,MICHELIN Recherche et Technique S.A.,http://data.epo.org/linked-data/data/address/F7BE801D4A7B8FA8BD58289058727ABF,CH,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2589100/B1/-,http://data.epo.org/linked-data/data/vc/BAA722B43A10ACA1BA63132AFEA6B385,http://data.epo.org/linked-data/id/st3/EP,2589100,http://data.epo.org/linked-data/def/patent/publicationKind_B1,2014-10-29,http://data.epo.org/linked-data/id/application/EP/11723485,http://data.epo.org/linked-data/def/cpc/H01M8-0606,Compagnie Générale des Etablissements Michelin,http://data.epo.org/linked-data/data/address/85AF48CBDE65FB677605E2179CD43F01,FR,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
http://data.epo.org/linked-data/data/publication/EP/2717372/A1/-,http://data.epo.org/linked-data/data/vc/0435700A1AC9BD97EEC7926012F3336D,http://data.epo.org/linked-data/id/st3/EP,2717372,http://data.epo.org/linked-data/def/patent/publicationKind_A1,2014-04-09,http://data.epo.org/linked-data/id/application/EP/12792765,http://data.epo.org/linked-data/def/cpc/H01M8-0606,China University of Geosciences (Wu Han ),http://data.epo.org/linked-data/data/address/2DDE13FFDAFC1CAC90C2533C205A9F22,CN,http://data.epo.org/linked-data/def/cpc/H01M8-06,http://data.epo.org/linked-data/def/cpc/H01M8-00,http://data.epo.org/linked-data/def/cpc/H01M
